country_code,tech_id,year,generation_twh,capacity_gw,emissions_mtco2,lcoe_usd_per_mwh,name,region,income,net_zero_target,name_y,category,emission_factor_gco2_kwh,decade
USA,7,2011,903.81,177.89,741.124,65.64,United States,North America,High,2050,Coal,Fossil,820,2010s
USA,1,2012,29.433,16.0,1.324,143.04,United States,North America,High,2050,Solar PV,Renewable,45,2010s
USA,2,2012,142.999,51.01,1.573,77.82,United States,North America,High,2050,Onshore Wind,Renewable,11,2010s
USA,3,2012,0.0,0.0,0.0,108.31,United States,North America,High,2050,Offshore Wind,Renewable,12,2010s
USA,4,2012,513.04,122.01,12.313,50.09,United States,North America,High,2050,Hydropower,Renewable,24,2010s
USA,5,2012,765.284,98.16,9.183,102.6,United States,North America,High,2050,Nuclear,Low-Carbon,12,2010s
USA,6,2012,2005.448,440.25,982.67,60.09,United States,North America,High,2050,Natural Gas,Fossil,490,2010s
USA,7,2012,819.127,161.22,671.684,65.09,United States,North America,High,2050,Coal,Fossil,820,2010s
USA,1,2013,40.269,21.89,1.812,125.87,United States,North America,High,2050,Solar PV,Renewable,45,2010s
USA,2,2013,169.751,60.56,1.867,73.15,United States,North America,High,2050,Onshore Wind,Renewable,11,2010s
USA,3,2013,0.0,0.0,0.0,100.72,United States,North America,High,2050,Offshore Wind,Renewable,12,2010s
USA,4,2013,516.118,122.74,12.387,51.84,United States,North America,High,2050,Hydropower,Renewable,24,2010s
USA,5,2013,756.973,97.09,9.084,104.4,United States,North America,High,2050,Nuclear,Low-Carbon,12,2010s
USA,6,2013,2085.225,457.77,1021.76,61.84,United States,North America,High,2050,Natural Gas,Fossil,490,2010s
USA,7,2013,732.647,144.2,600.771,66.84,United States,North America,High,2050,Coal,Fossil,820,2010s
USA,1,2014,55.094,29.95,2.479,110.77,United States,North America,High,2050,Solar PV,Renewable,45,2010s
USA,2,2014,201.508,71.88,2.217,68.76,United States,North America,High,2050,Onshore Wind,Renewable,11,2010s
USA,3,2014,0.0,0.0,0.0,93.67,United States,North America,High,2050,Offshore Wind,Renewable,12,2010s
USA,4,2014,519.215,123.48,12.461,55.08,United States,North America,High,2050,Hydropower,Renewable,24,2010s
USA,5,2014,748.534,96.01,8.982,106.2,United States,North America,High,2050,Nuclear,Low-Carbon,12,2010s
USA,6,2014,2157.877,473.72,1057.36,65.08,United States,North America,High,2050,Natural Gas,Fossil,490,2010s
USA,7,2014,644.561,126.86,528.54,70.08,United States,North America,High,2050,Coal,Fossil,820,2010s
USA,1,2015,75.378,40.98,3.392,97.48,United States,North America,High,2050,Solar PV,Renewable,45,2010s
USA,2,2015,239.207,85.33,2.631,64.63,United States,North America,High,2050,Onshore Wind,Renewable,11,2010s
USA,3,2015,0.0,0.0,0.0,87.12,United States,North America,High,2050,Offshore Wind,Renewable,12,2010s
USA,4,2015,522.33,124.22,12.536,58.28,United States,North America,High,2050,Hydropower,Renewable,24,2010s
USA,5,2015,739.967,94.91,8.88,108.0,United States,North America,High,2050,Nuclear,Low-Carbon,12,2010s
USA,6,2015,2220.694,487.51,1088.14,68.28,United States,North America,High,2050,Natural Gas,Fossil,490,2010s
USA,7,2015,555.174,109.27,455.243,73.28,United States,North America,High,2050,Coal,Fossil,820,2010s
USA,1,2016,103.129,56.06,4.641,85.78,United States,North America,High,2050,Solar PV,Renewable,45,2010s
USA,2,2016,283.957,101.3,3.124,60.76,United States,North America,High,2050,Onshore Wind,Renewable,11,2010s
USA,3,2016,0.0,0.0,0.0,81.02,United States,North America,High,2050,Offshore Wind,Renewable,12,2010s
USA,4,2016,525.464,124.97,12.611,59.94,United States,North America,High,2050,Hydropower,Renewable,24,2010s
USA,5,2016,731.271,93.8,8.775,109.8,United States,North America,High,2050,Nuclear,Low-Carbon,12,2010s
USA,6,2016,2270.088,498.35,1112.343,69.94,United States,North America,High,2050,Natural Gas,Fossil,490,2010s
USA,7,2016,464.958,91.51,381.266,74.94,United States,North America,High,2050,Coal,Fossil,820,2010s
USA,1,2017,141.097,76.7,6.349,75.48,United States,North America,High,2050,Solar PV,Renewable,45,2010s
USA,2,2017,337.08,120.25,3.708,57.11,United States,North America,High,2050,Onshore Wind,Renewable,11,2010s
USA,3,2017,0.0,0.0,0.0,75.35,United States,North America,High,2050,Offshore Wind,Renewable,12,2010s
USA,4,2017,528.617,125.72,12.687,59.27,United States,North America,High,2050,Hydropower,Renewable,24,2010s
USA,5,2017,722.443,92.66,8.669,111.6,United States,North America,High,2050,Nuclear,Low-Carbon,12,2010s
USA,6,2017,2301.277,505.2,1127.626,69.27,United States,North America,High,2050,Natural Gas,Fossil,490,2010s
USA,7,2017,374.626,73.73,307.193,74.27,United States,North America,High,2050,Coal,Fossil,820,2010s
USA,1,2018,193.043,104.94,8.687,66.43,United States,North America,High,2050,Solar PV,Renewable,45,2010s
USA,2,2018,400.141,142.74,4.402,53.68,United States,North America,High,2050,Onshore Wind,Renewable,11,2010s
USA,3,2018,0.0,0.0,0.0,74.0,United States,North America,High,2050,Offshore Wind,Renewable,12,2010s
USA,4,2018,531.788,126.47,12.763,56.6,United States,North America,High,2050,Hydropower,Renewable,24,2010s
USA,5,2018,713.483,91.51,8.562,113.4,United States,North America,High,2050,Nuclear,Low-Carbon,12,2010s
USA,6,2018,2307.872,506.65,1130.857,66.6,United States,North America,High,2050,Natural Gas,Fossil,490,2010s
USA,7,2018,285.243,56.14,233.899,71.6,United States,North America,High,2050,Coal,Fossil,820,2010s
USA,1,2019,264.113,143.57,11.885,58.46,United States,North America,High,2050,Solar PV,Renewable,45,2010s
USA,2,2019,474.999,169.45,5.225,50.46,United States,North America,High,2050,Onshore Wind,Renewable,11,2010s
USA,3,2019,0.0,0.0,0.0,74.0,United States,North America,High,2050,Offshore Wind,Renewable,12,2010s
USA,4,2019,534.979,127.23,12.839,53.17,United States,North America,High,2050,Hydropower,Renewable,24,2010s
USA,5,2019,704.389,90.35,8.453,115.2,United States,North America,High,2050,Nuclear,Low-Carbon,12,2010s
USA,6,2019,2281.304,500.81,1117.839,63.17,United States,North America,High,2050,Natural Gas,Fossil,490,2010s
USA,7,2019,198.374,39.04,162.667,68.17,United States,North America,High,2050,Coal,Fossil,820,2010s
USA,1,2020,361.349,196.43,16.261,51.44,United States,North America,High,2050,Solar PV,Renewable,45,2020s
USA,2,2020,563.862,201.15,6.202,47.44,United States,North America,High,2050,Onshore Wind,Renewable,11,2020s
USA,3,2020,0.0,0.0,0.0,74.0,United States,North America,High,2050,Offshore Wind,Renewable,12,2020s
USA,4,2020,538.189,127.99,12.917,50.6,United States,North America,High,2050,Hydropower,Renewable,24,2020s
USA,5,2020,695.161,89.16,8.342,117.0,United States,North America,High,2050,Nuclear,Low-Carbon,12,2020s
USA,6,2020,2210.03,485.17,1082.915,60.6,United States,North America,High,2050,Natural Gas,Fossil,490,2020s
USA,7,2020,116.317,22.89,95.38,65.6,United States,North America,High,2050,Coal,Fossil,820,2020s
USA,1,2021,494.384,268.75,22.247,45.27,United States,North America,High,2050,Solar PV,Renewable,45,2020s
USA,2,2021,669.35,238.78,7.363,44.59,United States,North America,High,2050,Onshore Wind,Renewable,11,2020s
USA,3,2021,0.0,0.0,0.0,74.0,United States,North America,High,2050,Offshore Wind,Renewable,12,2020s
USA,4,2021,541.418,128.76,12.994,50.1,United States,North America,High,2050,Hydropower,Renewable,24,2020s
USA,5,2021,685.796,87.96,8.23,118.8,United States,North America,High,2050,Nuclear,Low-Carbon,12,2020s
USA,6,2021,2014.827,442.31,987.265,60.1,United States,North America,High,2050,Natural Gas,Fossil,490,2020s
USA,7,2021,106.044,20.87,86.956,65.1,United States,North America,High,2050,Coal,Fossil,820,2020s
USA,1,2022,676.396,367.69,30.438,39.84,United States,North America,High,2050,Solar PV,Renewable,45,2020s
USA,2,2022,794.571,283.45,8.74,41.91,United States,North America,High,2050,Onshore Wind,Renewable,11,2020s
USA,3,2022,0.0,0.0,0.0,74.0,United States,North America,High,2050,Offshore Wind,Renewable,12,2020s
USA,4,2022,544.667,129.53,13.072,51.91,United States,North America,High,2050,Hydropower,Renewable,24,2020s
USA,5,2022,676.294,86.74,8.116,120.6,United States,North America,High,2050,Nuclear,Low-Carbon,12,2020s
USA,6,2022,1754.612,385.19,859.76,61.91,United States,North America,High,2050,Natural Gas,Fossil,490,2020s
USA,7,2022,92.348,18.18,75.725,66.91,United States,North America,High,2050,Coal,Fossil,820,2020s
USA,1,2023,925.418,503.05,41.644,36.0,United States,North America,High,2050,Solar PV,Renewable,45,2020s
USA,2,2023,943.22,336.48,10.375,39.4,United States,North America,High,2050,Onshore Wind,Renewable,11,2020s
USA,3,2023,0.0,0.0,0.0,74.0,United States,North America,High,2050,Offshore Wind,Renewable,12,2020s
USA,4,2023,547.935,130.31,13.15,55.17,United States,North America,High,2050,Hydropower,Renewable,24,2020s
USA,5,2023,666.654,85.51,8.0,122.4,United States,North America,High,2050,Nuclear,Low-Carbon,12,2020s
USA,6,2023,1408.751,309.26,690.288,65.17,United States,North America,High,2050,Natural Gas,Fossil,490,2020s
USA,7,2023,74.145,14.59,60.799,70.17,United States,North America,High,2050,Coal,Fossil,820,2020s
USA,1,2024,1148.38,624.26,51.677,36.0,United States,North America,High,2050,Solar PV,Renewable,45,2020s
USA,2,2024,1119.677,399.43,12.316,37.03,United States,North America,High,2050,Onshore Wind,Renewable,11,2020s
USA,3,2024,0.0,0.0,0.0,74.0,United States,North America,High,2050,Offshore Wind,Renewable,12,2020s
USA,4,2024,551.222,131.09,13.229,58.35,United States,North America,High,2050,Hydropower,Renewable,24,2020s
USA,5,2024,656.873,84.25,7.882,124.2,United States,North America,High,2050,Nuclear,Low-Carbon,12,2020s
USA,6,2024,1061.498,233.03,520.134,68.35,United States,North America,High,2050,Natural Gas,Fossil,490,2020s
USA,7,2024,55.868,11.0,45.812,73.35,United States,North America,High,2050,Coal,Fossil,820,2020s
CHN,1,2005,3.0,1.63,0.135,350.0,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2000s
CHN,2,2005,26.25,9.36,0.289,120.0,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2000s
CHN,3,2005,5.0,1.3,0.06,180.0,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2000s
CHN,4,2005,300.0,71.35,7.2,55.0,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2000s
CHN,5,2005,125.0,16.03,1.5,90.0,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2000s
CHN,6,2005,408.15,89.6,199.994,65.0,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2000s
CHN,7,2005,1632.6,321.33,1338.732,70.0,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2000s
CHN,1,2006,4.276,2.32,0.192,308.0,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2000s
CHN,2,2006,32.462,11.58,0.357,112.8,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2000s
CHN,3,2006,6.55,1.7,0.079,167.4,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2000s
CHN,4,2006,314.4,74.77,7.546,58.22,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2000s
CHN,5,2006,131.0,16.8,1.572,91.8,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2000s
CHN,6,2006,464.626,102.0,227.667,68.22,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2000s
CHN,7,2006,1666.686,328.04,1366.683,73.22,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2000s
CHN,1,2007,6.094,3.31,0.274,271.04,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2000s
CHN,2,2007,40.144,14.32,0.442,106.03,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2000s
CHN,3,2007,8.581,2.23,0.103,155.68,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2000s
CHN,4,2007,329.491,78.36,7.908,59.93,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2000s
CHN,5,2007,137.288,17.61,1.647,93.6,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2000s
CHN,6,2007,524.902,115.23,257.202,69.93,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2000s
CHN,7,2007,1699.26,334.45,1393.393,74.93,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2000s
CHN,1,2008,8.686,4.72,0.391,238.52,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2000s
CHN,2,2008,49.643,17.71,0.546,99.67,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2000s
CHN,3,2008,11.24,2.92,0.135,144.78,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2000s
CHN,4,2008,345.307,82.12,8.287,59.32,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2000s
CHN,5,2008,143.878,18.45,1.727,95.4,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2000s
CHN,6,2008,588.976,129.3,288.598,69.32,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2000s
CHN,7,2008,1729.826,340.46,1418.457,74.32,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2000s
CHN,1,2009,12.38,6.73,0.557,209.89,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2000s
CHN,2,2009,61.391,21.9,0.675,93.69,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2000s
CHN,3,2009,14.725,3.82,0.177,134.65,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2000s
CHN,4,2009,361.882,86.06,8.685,56.67,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2000s
CHN,5,2009,150.784,19.34,1.809,97.2,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2000s
CHN,6,2009,656.749,144.18,321.807,66.67,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2000s
CHN,7,2009,1757.769,345.96,1441.371,71.67,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2000s
CHN,1,2010,17.645,9.59,0.794,184.71,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2010s
CHN,2,2010,75.918,27.08,0.835,88.07,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2010s
CHN,3,2010,19.29,5.0,0.231,125.22,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2010s
CHN,4,2010,379.252,90.2,9.102,53.25,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2010s
CHN,5,2010,158.022,20.27,1.896,99.0,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2010s
CHN,6,2010,727.989,159.81,356.715,63.25,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2010s
CHN,7,2010,1782.317,350.79,1461.5,68.25,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2010s
CHN,1,2011,25.149,13.67,1.132,162.54,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2010s
CHN,2,2011,93.883,33.49,1.033,82.78,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2010s
CHN,3,2011,25.27,6.56,0.303,116.46,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2010s
CHN,4,2011,397.456,94.52,9.539,50.64,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2010s
CHN,5,2011,165.607,21.24,1.987,100.8,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2010s
CHN,6,2011,802.269,176.12,393.112,60.64,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2010s
CHN,7,2011,1802.499,354.77,1478.049,65.64,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2010s
CHN,1,2012,35.845,19.49,1.613,143.04,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2010s
CHN,2,2012,116.1,41.42,1.277,77.82,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2010s
CHN,3,2012,33.103,8.59,0.397,108.31,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2010s
CHN,4,2012,416.534,99.06,9.997,50.09,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2010s
CHN,5,2012,173.556,22.26,2.083,102.6,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2010s
CHN,6,2012,878.889,192.94,430.656,60.09,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2010s
CHN,7,2012,1817.089,357.64,1490.013,65.09,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2010s
CHN,1,2013,51.088,27.77,2.299,125.87,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2010s
CHN,2,2013,143.574,51.22,1.579,73.15,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2010s
CHN,3,2013,43.365,11.25,0.52,100.72,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2010s
CHN,4,2013,436.527,103.82,10.477,51.84,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2010s
CHN,5,2013,181.886,23.33,2.183,104.4,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2010s
CHN,6,2013,956.763,210.04,468.814,61.84,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2010s
CHN,7,2013,1824.524,359.1,1496.11,66.84,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2010s
CHN,1,2014,72.815,39.58,3.277,110.77,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2010s
CHN,2,2014,177.549,63.34,1.953,68.76,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2010s
CHN,3,2014,56.808,14.74,0.682,93.67,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2010s
CHN,4,2014,457.481,108.8,10.98,55.08,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2010s
CHN,5,2014,190.617,24.45,2.287,106.2,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2010s
CHN,6,2014,1034.259,227.05,506.787,65.08,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2010s
CHN,7,2014,1822.81,358.76,1494.704,70.08,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2010s
CHN,1,2015,103.782,56.42,4.67,97.48,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2010s
CHN,2,2015,219.565,78.33,2.415,64.63,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2010s
CHN,3,2015,74.419,19.31,0.893,87.12,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2010s
CHN,4,2015,479.44,114.02,11.507,58.28,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2010s
CHN,5,2015,199.767,25.62,2.397,108.0,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2010s
CHN,6,2015,1108.977,243.45,543.399,68.28,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2010s
CHN,7,2015,1809.383,356.12,1483.694,73.28,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2010s
CHN,1,2016,147.919,80.41,6.656,85.78,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2010s
CHN,2,2016,271.522,96.86,2.987,60.76,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2010s
CHN,3,2016,97.489,25.29,1.17,81.02,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2010s
CHN,4,2016,502.453,119.5,12.059,59.94,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2010s
CHN,5,2016,209.355,26.85,2.512,109.8,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2010s
CHN,6,2016,1177.431,258.48,576.941,69.94,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2010s
CHN,7,2016,1780.938,350.52,1460.369,74.94,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2010s
CHN,1,2017,210.826,114.6,9.487,75.48,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2010s
CHN,2,2017,335.775,119.78,3.694,57.11,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2010s
CHN,3,2017,127.71,33.13,1.533,75.35,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2010s
CHN,4,2017,526.571,125.23,12.638,59.27,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2010s
CHN,5,2017,219.404,28.14,2.633,111.6,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2010s
CHN,6,2017,1234.606,271.03,604.957,69.27,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2010s
CHN,7,2017,1733.197,341.13,1421.222,74.27,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2010s
CHN,1,2018,300.486,163.34,13.522,66.43,China,Asia-Pacific,Upper-Middle,2060,Solar PV,Renewable,45,2010s
CHN,2,2018,415.233,148.13,4.568,53.68,China,Asia-Pacific,Upper-Middle,2060,Onshore Wind,Renewable,11,2010s
CHN,3,2018,167.3,43.4,2.008,74.0,China,Asia-Pacific,Upper-Middle,2060,Offshore Wind,Renewable,12,2010s
CHN,4,2018,551.846,131.24,13.244,56.6,China,Asia-Pacific,Upper-Middle,2060,Hydropower,Renewable,24,2010s
CHN,5,2018,229.936,29.49,2.759,113.4,China,Asia-Pacific,Upper-Middle,2060,Nuclear,Low-Carbon,12,2010s
CHN,6,2018,1273.319,279.53,623.926,66.6,China,Asia-Pacific,Upper-Middle,2060,Natural Gas,Fossil,490,2010s
CHN,7,2018,1660.596,326.84,1361.689,71.6,China,Asia-Pacific,Upper-Middle,2060,Coal,Fossil,820,2010s
